"date","type","apps","sent","returned","date_for_graphing"
2020-09-16,2,1040008,NA,NA,2024-09-16
2020-09-17,2,1049731,893627,132,2024-09-17
2020-09-18,2,1061201,956147,582,2024-09-18
2020-09-19,2,1071960,1001084,2743,2024-09-19
2020-09-21,2,1080071,1005821,3397,2024-09-21
2020-09-22,2,1099434,1048887,38044,2024-09-22
2024-09-16,0,373628,212126,45,2024-09-16
2024-09-17,0,376766,229709,50,2024-09-17
2024-09-18,0,384816,295104,119,2024-09-18
2024-09-19,0,391194,343742,239,2024-09-19
2024-09-20,0,398586,373603,469,2024-09-20
2024-09-21,0,405060,383773,824,2024-09-21
2024-09-22,0,407321,384115,842,2024-09-22
