election,daysLeft,cumulEvs
2024 NOVEMBER 5TH GENERAL ELECTION,14,1615885
2024 NOVEMBER 5TH GENERAL ELECTION,15,881078
2024 NOVEMBER 5TH GENERAL ELECTION,16,29
2024 NOVEMBER 5TH GENERAL ELECTION,17,29
2024 NOVEMBER 5TH GENERAL ELECTION,18,29
2024 NOVEMBER 5TH GENERAL ELECTION,19,29
2024 NOVEMBER 5TH GENERAL ELECTION,20,29
2024 NOVEMBER 5TH GENERAL ELECTION,21,29
2024 NOVEMBER 5TH GENERAL ELECTION,22,29
2024 NOVEMBER 5TH GENERAL ELECTION,23,29
2024 NOVEMBER 5TH GENERAL ELECTION,24,29
2024 NOVEMBER 5TH GENERAL ELECTION,25,29
2024 NOVEMBER 5TH GENERAL ELECTION,26,29
2024 NOVEMBER 5TH GENERAL ELECTION,27,29
2024 NOVEMBER 5TH GENERAL ELECTION,28,29
2024 NOVEMBER 5TH GENERAL ELECTION,29,29
2024 NOVEMBER 5TH GENERAL ELECTION,30,29
2024 NOVEMBER 5TH GENERAL ELECTION,31,29
2024 NOVEMBER 5TH GENERAL ELECTION,32,29
2024 NOVEMBER 5TH GENERAL ELECTION,33,20
2024 NOVEMBER 5TH GENERAL ELECTION,34,20
2024 NOVEMBER 5TH GENERAL ELECTION,35,20
2024 NOVEMBER 5TH GENERAL ELECTION,36,20
2024 NOVEMBER 5TH GENERAL ELECTION,37,17
2020 NOVEMBER 3RD GENERAL ELECTION,4,8764385
2020 NOVEMBER 3RD GENERAL ELECTION,5,8145841
2020 NOVEMBER 3RD GENERAL ELECTION,6,7689423
2020 NOVEMBER 3RD GENERAL ELECTION,7,7307340
2020 NOVEMBER 3RD GENERAL ELECTION,8,6937022
2020 NOVEMBER 3RD GENERAL ELECTION,9,6553563
2020 NOVEMBER 3RD GENERAL ELECTION,10,6395824
2020 NOVEMBER 3RD GENERAL ELECTION,11,6065757
2020 NOVEMBER 3RD GENERAL ELECTION,12,5589770
2020 NOVEMBER 3RD GENERAL ELECTION,13,5151072
2020 NOVEMBER 3RD GENERAL ELECTION,14,4658931
2020 NOVEMBER 3RD GENERAL ELECTION,15,4100234
2020 NOVEMBER 3RD GENERAL ELECTION,16,3505191
2020 NOVEMBER 3RD GENERAL ELECTION,17,3344863
2020 NOVEMBER 3RD GENERAL ELECTION,18,2923781
2020 NOVEMBER 3RD GENERAL ELECTION,19,2188469
2020 NOVEMBER 3RD GENERAL ELECTION,20,1485995
2020 NOVEMBER 3RD GENERAL ELECTION,21,755172
2020 NOVEMBER 3RD GENERAL ELECTION,22,36
2020 NOVEMBER 3RD GENERAL ELECTION,23,36
2020 NOVEMBER 3RD GENERAL ELECTION,24,36
2020 NOVEMBER 3RD GENERAL ELECTION,25,35
2020 NOVEMBER 3RD GENERAL ELECTION,26,35
2020 NOVEMBER 3RD GENERAL ELECTION,27,35
2020 NOVEMBER 3RD GENERAL ELECTION,28,34
2020 NOVEMBER 3RD GENERAL ELECTION,29,34
2020 NOVEMBER 3RD GENERAL ELECTION,30,33
