"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2024 General Election","01002","TOWN OF ADAMS - ADAMS COUNTY","96","95","50","0"
"2024 General Election","01004","TOWN OF BIG FLATS - ADAMS COUNTY","48","47","14","0"
"2024 General Election","01006","TOWN OF COLBURN - ADAMS COUNTY","19","17","7","0"
"2024 General Election","01008","TOWN OF DELL PRAIRIE - ADAMS COUNTY","108","106","34","0"
"2024 General Election","01010","TOWN OF EASTON - ADAMS COUNTY","81","79","39","0"
"2024 General Election","01012","TOWN OF JACKSON - ADAMS COUNTY","107","107","34","0"
"2024 General Election","01014","TOWN OF LEOLA - ADAMS COUNTY","14","13","7","0"
"2024 General Election","01016","TOWN OF LINCOLN - ADAMS COUNTY","26","26","14","0"
"2024 General Election","01018","TOWN OF MONROE - ADAMS COUNTY","35","35","15","0"
"2024 General Election","01020","TOWN OF NEW CHESTER - ADAMS COUNTY","79","79","45","0"
"2024 General Election","01022","TOWN OF NEW HAVEN - ADAMS COUNTY","42","42","20","0"
"2024 General Election","01024","TOWN OF PRESTON - ADAMS COUNTY","111","110","56","0"
"2024 General Election","01026","TOWN OF QUINCY - ADAMS COUNTY","110","107","52","0"
"2024 General Election","01028","TOWN OF RICHFIELD - ADAMS COUNTY","6","6","2","0"
"2024 General Election","01030","TOWN OF ROME - ADAMS COUNTY","370","366","169","0"
"2024 General Election","01032","TOWN OF SPRINGVILLE - ADAMS COUNTY","105","105","41","0"
"2024 General Election","01034","TOWN OF STRONGS PRAIRIE - ADAMS COUNTY","81","81","36","0"
"2024 General Election","01126","VILLAGE OF FRIENDSHIP - ADAMS COUNTY","44","44","17","0"
"2024 General Election","01201","CITY OF ADAMS - ADAMS COUNTY","80","79","30","0"
"2024 General Election","02002","TOWN OF AGENDA - ASHLAND COUNTY","24","24","10","0"
"2024 General Election","02004","TOWN OF ASHLAND - ASHLAND COUNTY","39","0","0",""
"2024 General Election","02006","TOWN OF CHIPPEWA - ASHLAND COUNTY","28","24","0","0"
"2024 General Election","02008","TOWN OF GINGLES - ASHLAND COUNTY","66","66","0","0"
"2024 General Election","02010","TOWN OF GORDON - ASHLAND COUNTY","30","30","13","0"
"2024 General Election","02012","TOWN OF JACOBS - ASHLAND COUNTY","25","23","7","0"
"2024 General Election","02014","TOWN OF LA POINTE - ASHLAND COUNTY","44","44","23","0"
"2024 General Election","02016","TOWN OF MARENGO - ASHLAND COUNTY","24","23","6","0"
"2024 General Election","02018","TOWN OF MORSE - ASHLAND COUNTY","50","45","14","0"
"2024 General Election","02020","TOWN OF PEEKSVILLE - ASHLAND COUNTY","6","5","3","0"
"2024 General Election","02022","TOWN OF SANBORN - ASHLAND COUNTY","23","23","3","0"
"2024 General Election","02024","TOWN OF SHANAGOLDEN - ASHLAND COUNTY","12","11","2","0"
"2024 General Election","02026","TOWN OF WHITE RIVER - ASHLAND COUNTY","53","53","13","0"
"2024 General Election","02106","VILLAGE OF BUTTERNUT - ASHLAND COUNTY","10","9","0","0"
"2024 General Election","02201","CITY OF ASHLAND - MULTIPLE COUNTIES","629","622","247","0"
"2024 General Election","02251","CITY OF MELLEN - ASHLAND COUNTY","30","30","16","0"
"2024 General Election","03002","TOWN OF ALMENA - BARRON COUNTY","74","70","27","0"
"2024 General Election","03004","TOWN OF ARLAND - BARRON COUNTY","30","26","12","0"
"2024 General Election","03006","TOWN OF BARRON - BARRON COUNTY","28","27","11","0"
"2024 General Election","03008","TOWN OF BEAR LAKE - BARRON COUNTY","56","54","20","0"
"2024 General Election","03010","TOWN OF CEDAR LAKE - BARRON COUNTY","150","150","75","0"
"2024 General Election","03012","TOWN OF CHETEK - BARRON COUNTY","195","195","109","0"
"2024 General Election","03014","TOWN OF CLINTON - BARRON COUNTY","41","40","15","0"
"2024 General Election","03016","TOWN OF CRYSTAL LAKE - BARRON COUNTY","39","39","12","0"
"2024 General Election","03018","TOWN OF CUMBERLAND - BARRON COUNTY","34","33","15","0"
"2024 General Election","03020","TOWN OF DALLAS - BARRON COUNTY","26","22","8","0"
"2024 General Election","03022","TOWN OF DOVRE - BARRON COUNTY","45","43","12","0"
"2024 General Election","03024","TOWN OF DOYLE - BARRON COUNTY","32","32","9","0"
"2024 General Election","03026","TOWN OF LAKELAND - BARRON COUNTY","67","67","30","0"
"2024 General Election","03028","TOWN OF MAPLE GROVE - BARRON COUNTY","47","47","16","0"
"2024 General Election","03030","TOWN OF MAPLE PLAIN - BARRON COUNTY","74","74","23","0"
"2024 General Election","03032","TOWN OF OAK GROVE - BARRON COUNTY","47","47","26","0"
"2024 General Election","03034","TOWN OF PRAIRIE FARM - BARRON COUNTY","16","15","3","0"
"2024 General Election","03036","TOWN OF PRAIRIE LAKE - BARRON COUNTY","136","132","58","0"
"2024 General Election","03038","TOWN OF RICE LAKE - BARRON COUNTY","198","196","93","0"
"2024 General Election","03040","TOWN OF SIOUX CREEK - BARRON COUNTY","33","33","14","0"
"2024 General Election","03042","TOWN OF STANFOLD - BARRON COUNTY","29","28","7","0"
"2024 General Election","03044","TOWN OF STANLEY - BARRON COUNTY","199","198","102","0"
"2024 General Election","03046","TOWN OF SUMNER - BARRON COUNTY","28","27","7","0"
"2024 General Election","03048","TOWN OF TURTLE LAKE - BARRON COUNTY","23","22","8","0"
"2024 General Election","03050","TOWN OF VANCE CREEK - BARRON COUNTY","8","8","0","0"
"2024 General Election","03101","VILLAGE OF ALMENA - BARRON COUNTY","15","15","11","0"
"2024 General Election","03111","VILLAGE OF CAMERON - BARRON COUNTY","77","74","29","0"
"2024 General Election","03116","VILLAGE OF DALLAS - BARRON COUNTY","8","8","1","0"
"2024 General Election","03136","VILLAGE OF HAUGEN - BARRON COUNTY","10","10","6","0"
"2024 General Election","03171","VILLAGE OF PRAIRIE FARM - BARRON COUNTY","11","11","4","0"
"2024 General Election","03186","VILLAGE OF TURTLE LAKE - MULTIPLE COUNTIES","30","30","17","0"
